Medicine_Name,Generic_Name,Dosage,Usage,Side_Effects,Precautions,Category
Dolo 650,Paracetamol,650mg,Fever and pain relief,"Nausea, skin rash",Do not exceed 4000mg per day,Analgesic
Crocin Advance,Paracetamol,500mg,Fever and pain relief,"Nausea, liver problems in overdose",Do not exceed recommended dose,Analgesic
Combiflam,Ibuprofen + Paracetamol,400mg + 325mg,Pain and inflammation,"Stomach upset, dizziness",Take with food,NSAID
Disprin,Aspirin,300mg,Pain and fever relief,Stomach irritation,Avoid in gastric problems,NSAID
Meftal Forte,Mefenamic Acid,500mg,Pain and fever relief,"Stomach upset, dizziness",Take with food,NSAID
Voveran,Diclofenac,50mg,Pain and inflammation,"Stomach upset, headache",Take with food,NSAID
Augmentin 625,Amoxicillin + Clavulanic Acid,500mg + 125mg,Bacterial infections,"Diarrhea, nausea",Complete full course,Antibiotic
Azithral 500,Azithromycin,500mg,Bacterial infections,"Stomach upset, diarrhea",Take on empty stomach,Antibiotic
Cifran 500,Ciprofloxacin,500mg,Urinary tract infections,"Tendon problems, nausea",Avoid in pregnancy,Antibiotic
Monocef,Cefpodoxime,200mg,Bacterial infections,"Diarrhea, nausea",Complete full course,Antibiotic
Roxid,Roxithromycin,150mg,Bacterial infections,"Stomach upset, diarrhea",Take with food,Antibiotic
Glycomet 500,Metformin,500mg,Type 2 diabetes,"Nausea, diarrhea",Take with meals,Antidiabetic
Januvia,Sitagliptin,100mg,Type 2 diabetes,Upper respiratory infection,Monitor kidney function,Antidiabetic
Gemer,Glimepiride,1mg,Type 2 diabetes,Low blood sugar,Take with breakfast,Antidiabetic
Glizid,Gliclazide,80mg,Type 2 diabetes,Low blood sugar,Take with breakfast,Antidiabetic
Telma 40,Telmisartan,40mg,High blood pressure,"Dizziness, back pain",Regular BP monitoring,Antihypertensive
Amlodac 5,Amlodipine,5mg,High blood pressure,Swelling in ankles,Take at same time daily,Antihypertensive
Cardace,Ramipril,5mg,High blood pressure,"Cough, dizziness",Regular BP monitoring,Antihypertensive
Nebistar,Nebivolol,5mg,High blood pressure,"Fatigue, dizziness",Do not stop abruptly,Antihypertensive
Allegra 120,Fexofenadine,120mg,"Allergies, hay fever","Headache, drowsiness",Avoid alcohol,Antihistamine
Cetrizine,Cetirizine,10mg,Allergies,Drowsiness,Do not drive after taking,Antihistamine
Levocet,Levocetirizine,5mg,Allergies,Drowsiness,Do not drive after taking,Antihistamine
Pantop 40,Pantoprazole,40mg,"Acid reflux, ulcers","Headache, diarrhea",Take before meals,PPI
Rantac 150,Ranitidine,150mg,Acid reflux,"Headache, constipation",Take before meals,H2 Blocker
Omez,Omeprazole,20mg,"Acid reflux, ulcers","Headache, diarrhea",Take before meals,PPI
Atorva 10,Atorvastatin,10mg,High cholesterol,Muscle pain,Avoid grapefruit,Statin
Rosuvas 10,Rosuvastatin,10mg,High cholesterol,Muscle weakness,Regular liver monitoring,Statin
Storvas,Atorvastatin,10mg,High cholesterol,Muscle pain,Avoid grapefruit,Statin
Flunil 20,Fluoxetine,20mg,"Depression, anxiety","Nausea, insomnia",Do not stop abruptly,Antidepressant
Nexito 10,Escitalopram,10mg,"Depression, anxiety","Drowsiness, dry mouth",Avoid alcohol,Antidepressant
